theta;force;class
26;0.88;longe
26;0.94;perto
26;0.96;muito perto
26;0.98;acertou
28;0.86;longe
28;0.88;perto
28;0.92;muito perto
28;0.94;acertou
28;0.96;acertou
30;0.84;longe
30;0.86;perto
30;0.9;muito perto
30;0.92;acertou
30;0.94;acertou
30;0.96;muito perto
30;0.98;perto
32;0.82;longe
32;0.84;perto
32;0.88;muito perto
32;0.9;acertou
32;0.92;acertou
32;0.94;muito perto
32;0.96;perto
34;0.8;longe
34;0.82;perto
34;0.86;muito perto
34;0.88;acertou
34;0.9;acertou
34;0.92;acertou
34;0.94;perto
36;0.78;longe
36;0.84;perto
36;0.86;muito perto
36;0.88;acertou
36;0.9;acertou
36;0.92;muito perto
38;0.78;longe
38;0.8;perto
38;0.84;muito perto
38;0.86;acertou
38;0.88;acertou
38;0.9;muito perto
38;0.92;perto
40;0.5;longe
40;0.78;longe
40;0.82;perto
40;0.84;muito perto
40;0.86;acertou
40;0.88;acertou
40;0.9;muito perto
40;0.92;perto
42;0.5;longe
42;0.8;perto
42;0.86;acertou
42;0.88;muito perto
44;0.52;longe
44;0.8;perto
44;0.82;muito perto
44;0.84;acertou
44;0.86;acertou
44;0.9;perto
46;0.5;longe
46;0.8;perto
46;0.82;muito perto
46;0.84;acertou
46;0.86;acertou
48;0.5;longe
48;0.52;longe
48;0.82;muito perto
48;0.84;acertou
48;0.86;acertou
48;0.9;perto
50;0.5;longe
50;0.82;perto
50;0.84;muito perto
50;0.86;acertou
50;0.88;acertou
50;0.92;perto
52;0.84;muito perto
52;0.86;acertou
52;0.88;acertou
54;0.5;longe
54;0.82;perto
54;0.84;muito perto
54;0.86;acertou
54;0.88;acertou
54;0.9;muito perto
56;0.86;muito perto
56;0.88;acertou
56;0.9;acertou
58;0.5;longe
58;0.86;muito perto
58;0.88;acertou
58;0.9;acertou
58;0.92;muito perto
60;0.5;longe
60;0.9;acertou
60;0.92;acertou
60;0.94;muito perto
62;0.92;acertou
62;0.94;acertou
62;0.96;muito perto
64;0.5;longe
64;0.92;muito perto
64;0.94;acertou
64;0.96;acertou
64;0.98;muito perto
66;0.5;longe
66;0.52;longe
66;0.92;perto
66;0.94;muito perto
66;0.96;acertou
66;0.98;acertou
68;0.5;longe
68;0.52;longe
68;0.54;longe
68;0.56;longe
